location_id,on_date,min_temp_c,max_temp_c,precip_mm,conditions,source
19,2025-10-23,2.7,6.3,0.1,Light drizzle,Open-Meteo
19,2025-10-24,5.3,9.8,1.9,Moderate drizzle,Open-Meteo
19,2025-10-25,7.5,11.8,2.6,Unknown,Open-Meteo
19,2025-10-26,4.2,8.1,2.5,Light drizzle,Open-Meteo
20,2025-10-20,15.1,23.6,0.0,Cloudy,Open-Meteo
20,2025-10-21,18.0,27.4,0.0,Cloudy,Open-Meteo
20,2025-10-22,19.7,24.5,1.1,Moderate drizzle,Open-Meteo
20,2025-10-23,20.5,30.6,0.0,Cloudy,Open-Meteo
20,2025-10-24,19.5,26.3,18.7,Moderate rain,Open-Meteo
20,2025-10-25,14.0,19.4,29.5,Moderate rain,Open-Meteo
20,2025-10-26,11.8,22.6,0.0,Mainly clear,Open-Meteo
21,2025-10-20,25.9,28.8,0.2,Light drizzle,Open-Meteo
21,2025-10-21,25.2,30.0,0.4,Light drizzle,Open-Meteo
21,2025-10-22,25.6,29.0,0.7,Light drizzle,Open-Meteo
21,2025-10-23,24.4,27.9,1.0,Moderate drizzle,Open-Meteo
21,2025-10-24,25.0,28.8,2.7,Light rain,Open-Meteo
21,2025-10-25,25.4,28.8,0.3,Light drizzle,Open-Meteo
21,2025-10-26,26.4,29.7,2.6,Unknown,Open-Meteo
22,2025-10-20,19.8,26.9,3.1,Light rain,Open-Meteo
22,2025-10-21,20.1,25.2,8.2,Light rain,Open-Meteo
22,2025-10-22,19.7,24.4,22.9,Moderate rain,Open-Meteo
22,2025-10-23,19.3,25.6,1.1,Light drizzle,Open-Meteo
22,2025-10-24,19.6,25.0,0.1,Light drizzle,Open-Meteo
22,2025-10-25,19.4,26.5,0.0,Cloudy,Open-Meteo
22,2025-10-26,19.5,27.5,0.4,Light drizzle,Open-Meteo
23,2025-10-20,25.0,33.1,4.5,Light rain,Open-Meteo
23,2025-10-21,25.0,32.2,8.1,Moderate rain,Open-Meteo
23,2025-10-22,24.4,31.6,12.0,Moderate rain,Open-Meteo
23,2025-10-23,25.2,30.9,9.4,Moderate rain,Open-Meteo
23,2025-10-24,24.5,31.9,19.9,Unknown,Open-Meteo
23,2025-10-25,24.0,28.7,7.6,Light rain,Open-Meteo
23,2025-10-26,23.5,30.3,4.6,Moderate rain,Open-Meteo
24,2025-10-20,14.6,23.8,0.1,Light drizzle,Open-Meteo
24,2025-10-21,13.3,17.5,0.7,Light drizzle,Open-Meteo
24,2025-10-22,12.2,14.8,7.9,Light rain,Open-Meteo
